x;y
500;1401
600;2023
700;2191
800;2429
900;2344
1000;2977
1100;3673
1200;3934
1300;4002
1400;5041
1500;4522
1600;4479
1700;5102
1800;4996
1900;5137
2000;5439
2100;6346
2200;7760
2300;8380
2400;8714
2500;8826
2600;9203
2700;9383
2800;9525
2900;9815
3000;9895
3100;21244
3200;21481
3300;25984
3400;17117
3500;14783
3600;12834
3700;11444
3800;11332
3900;11686
4000;12155
4100;12700
4200;14541
4300;16588
4400;17342
4500;17519
4600;17738
4700;18353
4800;18791
4900;16980
5000;17169
5100;17645
5200;17782
5300;17949
5400;18697
5500;18983
5600;19526
5700;19985
5800;20500
5900;20650
6000;19674
6100;22406
6200;23393
6300;22553
6400;22207
6500;21560
6600;20412
6700;21665
6800;27082
6900;20912
7000;22281
7100;22353
7200;24389
7300;24431
7400;22642
7500;26485
7600;23312
7700;23889
7800;23080
7900;24173
8000;24036
8100;24678
8200;24017
8300;26453
8400;30080
8500;32419
8600;32505
8700;36724
8800;34535
8900;43055
9000;33582
9100;35347
9200;37820
9300;36970
9400;36283
9500;34786
9600;35881
9700;35198
9800;35466
9900;37280
