x;y
500;1179
600;1671
700;1702
800;1872
900;2171
1000;2429
1100;3767
1200;3292
1300;3487
1400;3722
1500;4154
1600;5393
1700;5305
1800;6663
1900;4791
2000;5352
2100;6895
2200;6849
2300;7923
2400;7222
2500;7700
2600;7602
2700;8304
2800;8042
2900;8414
3000;8496
3100;9570
3200;10728
3300;11067
3400;9852
3500;9744
3600;10486
3700;10660
3800;10434
3900;10746
4000;11771
4100;13266
4200;13819
4300;14347
4400;14518
4500;14992
4600;15223
4700;15514
4800;15980
4900;16219
5000;15949
5100;16696
5200;19974
5300;20426
5400;18570
5500;18301
5600;18628
5700;17870
5800;18650
5900;19380
6000;18434
6100;18969
6200;19096
6300;21406
6400;20421
6500;21627
6600;29265
6700;22019
6800;20821
6900;20641
7000;21901
7100;23363
7200;23935
7300;23122
7400;22715
7500;25126
7600;25224
7700;24671
7800;23607
7900;24815
8000;26481
8100;27503
8200;28782
8300;30064
8400;30636
8500;31339
8600;33377
8700;37518
8800;32262
8900;32112
9000;32439
9100;32218
9200;33993
9300;34028
9400;36123
9500;33826
9600;33899
9700;34133
9800;33892
9900;35295
