x;y
500;1182
600;1479
700;5151
800;2054
900;2431
1000;2777
1100;3101
1200;3253
1300;3359
1400;3435
1500;3960
1600;3919
1700;4131
1800;4773
1900;4948
2000;5274
2100;6036
2200;6342
2300;6652
2400;7009
2500;6672
2600;7211
2700;7103
2800;7730
2900;8189
3000;8046
3100;8116
3200;8870
3300;8600
3400;8944
3500;9485
3600;10045
3700;10240
3800;11031
3900;10289
4000;10861
4100;11843
4200;12322
4300;12578
4400;14047
4500;13781
4600;14104
4700;13889
4800;14182
4900;15030
5000;38710
5100;33054
5200;23684
5300;17105
5400;18187
5500;15790
5600;15830
5700;17137
5800;16883
5900;17241
6000;17476
6100;17786
6200;18224
6300;19604
6400;18781
6500;18668
6600;20070
6700;19930
6800;18936
6900;20410
7000;19574
7100;20210
7200;20807
7300;22926
7400;20905
7500;21298
7600;28143
7700;22140
7800;22686
7900;22080
8000;23600
8100;25193
8200;25599
8300;27430
8400;28133
8500;26225
8600;29138
8700;27127
8800;29419
8900;28299
9000;28491
9100;28267
9200;29392
9300;28687
9400;29501
9500;35118
9600;31369
9700;30157
9800;30786
9900;31171
