x;y
500;1376
600;2062
700;2113
800;2457
900;2513
1000;2949
1100;4010
1200;4265
1300;4463
1400;4842
1500;4849
1600;5062
1700;5424
1800;5475
1900;5663
2000;6322
2100;7151
2200;8891
2300;8868
2400;9666
2500;9659
2600;9847
2700;9974
2800;9965
2900;10320
3000;10627
3100;10601
3200;11301
3300;11552
3400;12090
3500;13246
3600;13591
3700;13084
3800;15057
3900;13445
4000;13066
4100;16001
4200;16709
4300;17311
4400;19067
4500;20349
4600;61273
4700;36180
4800;23489
4900;21536
5000;22026
5100;22109
5200;22164
5300;22553
5400;23304
5500;24558
5600;24254
5700;26829
5800;24456
5900;22478
6000;23010
6100;22508
6200;23895
6300;23629
6400;24100
6500;24092
6600;25091
6700;24891
6800;25500
6900;24453
7000;28354
7100;25893
7200;26482
7300;26372
7400;27609
7500;29114
7600;28918
7700;31743
7800;28644
7900;28067
8000;27864
8100;29734
8200;29753
8300;30878
8400;38954
8500;37039
8600;40807
8700;40237
8800;41489
8900;42038
9000;42644
9100;43364
9200;43562
9300;46716
9400;44863
9500;44634
9600;43916
9700;45256
9800;45032
9900;45099
