x;y
10;25
11;34
12;21
13;41
14;63
15;63
16;61
17;72
18;84
19;82
20;99
21;91
22;127
23;93
24;61
25;66
26;82
27;119
28;157
29;140
30;111
31;156
32;131
33;134
34;132
35;134
36;174
37;172
38;132
39;140
40;137
41;138
42;136
43;151
44;151
45;130
46;179
47;160
48;183
49;166
50;197
51;230
52;187
53;211
54;243
55;231
56;249
57;253
58;257
59;210
60;208
61;216
62;214
63;214
64;216
65;221
66;224
67;234
68;239
69;246
70;248
71;252
72;234
73;240
74;239
75;312
76;249
77;258
78;303
79;268
80;267
81;270
82;282
83;271
84;264
85;323
86;317
87;319
88;317
89;327
90;288
91;286
92;317
93;330
94;297
95;355
96;360
97;461
98;492
99;466
100;415
101;527
102;428
103;393
104;438
105;432
106;445
107;471
108;491
109;503
110;516
111;507
112;517
113;502
114;497
115;499
116;495
117;466
118;465
119;457
120;489
121;469
122;506
123;494
124;493
125;529
126;508
127;491
128;569
129;493
130;631
131;562
132;647
133;571
134;527
135;575
136;615
137;586
138;612
139;635
140;617
141;653
142;739
143;653
144;703
145;645
146;753
147;831
148;735
149;801
150;630
151;631
152;709
153;648
154;893
155;825
156;776
157;767
158;660
159;603
160;586
161;622
162;562
163;558
164;583
165;570
166;602
167;610
168;600
169;626
170;646
171;642
172;650
173;649
174;625
175;630
176;632
177;684
178;672
179;770
180;1075
181;1129
182;986
183;707
184;656
185;658
186;650
187;655
188;649
189;625
190;623
191;644
192;640
193;686
194;715
195;752
196;717
197;744
198;821
199;1005
200;789
201;898
202;1045
203;1107
204;1055
205;753
206;764
207;808
208;835
209;877
210;899
211;935
212;953
213;968
214;952
215;989
216;1121
217;981
218;1005
219;1291
220;1299
221;1142
222;1006
223;1022
224;1035
225;1036
226;1036
227;1076
228;950
229;949
230;974
231;1092
232;1054
233;932
234;1642
235;2088
236;1131
237;963
238;953
239;953
240;958
241;1001
242;984
243;931
244;970
245;1300
246;1051
247;945
248;1102
249;1605
250;1398
251;1001
252;963
253;962
254;942
255;963
256;1191
257;962
258;992
259;1125
260;1109
261;1012
262;1000
263;1142
264;1568
265;1704
266;1203
267;1033
268;1028
269;1044
270;1201
271;1077
272;1176
273;1305
274;1067
275;1074
276;1069
277;1448
278;1680
279;1375
280;1177
281;1172
282;1102
283;1290
284;1098
285;1178
286;1104
287;1137
288;1112
289;1145
290;1177
291;1603
292;1740
293;1259
294;1133
295;1126
296;1214
297;1221
298;1272
299;1166
300;1192
301;1151
302;1153
303;1598
304;2266
305;1748
306;1229
307;1212
308;1184
309;1256
310;1263
311;1365
312;1393
313;1477
314;1487
315;1755
316;1580
317;1457
318;1439
319;1444
320;1721
321;1647
322;1291
323;1223
324;1224
325;1247
326;1650
327;2458
328;1349
329;1243
330;1231
331;1220
332;1229
333;1201
334;1261
335;1293
336;1315
337;1421
338;1472
339;1667
340;1293
341;1418
342;1302
343;1332
344;1413
345;1440
346;1531
347;1524
348;1594
349;1555
350;1603
351;1612
352;1504
353;1490
354;1447
355;1438
356;1413
357;1419
358;1381
359;1345
360;1282
361;1391
362;1954
363;2006
364;1398
365;1400
366;1401
367;1394
368;1412
369;1336
370;1264
371;1277
372;4075
373;1782
374;1743
375;2135
376;1770
377;1768
378;1697
379;1849
380;2012
381;1458
382;1405
383;1485
384;1451
385;1343
386;1320
387;1300
388;1344
389;1408
390;1555
391;1624
392;1485
393;1769
394;1906
395;1381
396;1466
397;1411
398;1422
399;1470
400;1659
401;1574
402;1808
403;1635
404;1713
405;1821
406;1885
407;1886
408;1953
409;1986
410;1875
411;1953
412;1952
413;1957
414;1921
415;1921
416;1975
417;1993
418;2103
419;1804
420;1722
421;1664
422;1649
423;1714
424;1671
425;1740
426;1743
427;1711
428;1906
429;1976
430;1828
431;1775
432;1791
433;1764
434;2382
435;1917
436;1953
437;1830
438;2391
439;1861
440;2698
441;2049
442;1873
443;1886
444;1911
445;2065
446;2120
447;1914
448;1958
449;2630
450;2090
451;2327
452;2680
453;2448
454;2298
455;2301
456;2096
457;2096
458;2089
459;2082
460;2133
461;1928
462;1937
463;2363
464;1985
465;1946
466;1944
467;1944
468;2020
469;1964
470;2214
471;2817
472;2104
473;2127
474;2278
475;2400
476;2548
477;2418
478;2246
479;2289
480;2154
481;2098
482;1969
483;2159
484;2061
485;1984
486;2059
487;1959
488;1965
489;1972
490;2017
491;1996
492;2586
493;2033
494;2251
495;2500
496;2021
497;2151
498;2266
499;2511
