x;y
500;1873
600;1914
700;1773
800;3483
900;2965
1000;3044
1100;3746
1200;4157
1300;4520
1400;4360
1500;5237
1600;5889
1700;5678
1800;6868
1900;6479
2000;6679
2100;7396
2200;7676
2300;7817
2400;8629
2500;14276
2600;9503
2700;8825
2800;8307
2900;9151
3000;10666
3100;12389
3200;12874
3300;13055
3400;13227
3500;13349
3600;12737
3700;13504
3800;14541
3900;13970
4000;14402
4100;13571
4200;15350
4300;15982
4400;16450
4500;16721
4600;17127
4700;17136
4800;17715
4900;17303
5000;22624
5100;53445
5200;24436
5300;21666
5400;22480
5500;20915
5600;25384
5700;19501
5800;21582
5900;22727
6000;24080
6100;25999
6200;27619
6300;29459
6400;27276
6500;28089
6600;27311
6700;27173
6800;28539
6900;26716
7000;27793
7100;29628
7200;28404
7300;28448
7400;29038
7500;30924
7600;32087
7700;26568
7800;26533
7900;31830
8000;30959
8100;29433
8200;28830
8300;28877
8400;37353
8500;42401
8600;31489
8700;33386
8800;32782
8900;33495
9000;34119
9100;34537
9200;34985
9300;36686
9400;36181
9500;33915
9600;33443
9700;33318
9800;33235
9900;33450
