x;y
500;1555
600;2540
700;2620
800;2549
900;3627
1000;2706
1100;2595
1200;3355
1300;3814
1400;5833
1500;5800
1600;6120
1700;4365
1800;5329
1900;4802
2000;4765
2100;6804
2200;7424
2300;7046
2400;11069
2500;11072
2600;12787
2700;11849
2800;10148
2900;13641
3000;12554
3100;13663
3200;14084
3300;11511
3400;12925
3500;13110
3600;12861
3700;16266
3800;13105
3900;10415
4000;13569
4100;16040
4200;12740
4300;11203
4400;10516
4500;12027
4600;15305
4700;19133
4800;21433
4900;19659
5000;23574
5100;23207
5200;20281
5300;19326
5400;19165
5500;17815
5600;17381
5700;16531
5800;26238
5900;18144
6000;17713
6100;27832
6200;20894
6300;18333
6400;18725
6500;21179
6600;68579
6700;39193
6800;34288
6900;32207
7000;20872
7100;31742
7200;27864
7300;19382
7400;37375
7500;25667
7600;25258
7700;25846
7800;29427
7900;29230
8000;25268
8100;32050
8200;26798
8300;32568
8400;29943
8500;30036
8600;28436
8700;26318
8800;21793
8900;30678
9000;30392
9100;31725
9200;30050
9300;36563
9400;34391
9500;33352
9600;55218
9700;54601
9800;43196
9900;37907
