x;y
500;1485
600;1538
700;2093
800;2335
900;2557
1000;2764
1100;3457
1200;3354
1300;3492
1400;4554
1500;5148
1600;5127
1700;5289
1800;5717
1900;6012
2000;7097
2100;7845
2200;7471
2300;8394
2400;7370
2500;9878
2600;7622
2700;8238
2800;9949
2900;10190
3000;10505
3100;10832
3200;11096
3300;11567
3400;11674
3500;12054
3600;11880
3700;13437
3800;12748
3900;13051
4000;13422
4100;14758
4200;16232
4300;14273
4400;14591
4500;15321
4600;15300
4700;15526
4800;15890
4900;16836
5000;17110
5100;61656
5200;23651
5300;21454
5400;22194
5500;29249
5600;32101
5700;29080
5800;28395
5900;29895
6000;32185
6100;32542
6200;30373
6300;30600
6400;30555
6500;32471
6600;33180
6700;33518
6800;33309
6900;31295
7000;34771
7100;42870
7200;49200
7300;40102
7400;35346
7500;37941
7600;37747
7700;36995
7800;35321
7900;35544
8000;35878
8100;36065
8200;39306
8300;36566
8400;35464
8500;40351
8600;39661
8700;41888
8800;43305
8900;45797
9000;42561
9100;52354
9200;43845
9300;48293
9400;43256
9500;46886
9600;44164
9700;44640
9800;45276
9900;44388
