x;y
500;2135
600;2735
700;3457
800;4197
900;3840
1000;3228
1100;3564
1200;3952
1300;6280
1400;7325
1500;8165
1600;6725
1700;7533
1800;7664
1900;9151
2000;11409
2100;8632
2200;8862
2300;9590
2400;14140
2500;13348
2600;10877
2700;10043
2800;18091
2900;17432
3000;17903
3100;17966
3200;18314
3300;17658
3400;17744
3500;17263
3600;16501
3700;18298
3800;18101
3900;19546
4000;19838
4100;21670
4200;18174
4300;16861
4400;23951
4500;23011
4600;24347
4700;25122
4800;26907
4900;41005
5000;39851
5100;30024
5200;24182
5300;28384
5400;20177
5500;29405
5600;32550
5700;31224
5800;24591
5900;31230
6000;33724
6100;37776
6200;35262
6300;37706
6400;38258
6500;35907
6600;36736
6700;31351
6800;34680
6900;33982
7000;30765
7100;36916
7200;40359
7300;41559
7400;39467
7500;37249
7600;39035
7700;41348
7800;39909
7900;40976
8000;40122
8100;44779
8200;33215
8300;45646
8400;49921
8500;51079
8600;53501
8700;83435
8800;71349
8900;46750
9000;46606
9100;41157
9200;44126
9300;44270
9400;48018
9500;45565
9600;41600
9700;48948
9800;42571
9900;37969
