x;y
500;790
600;1256
700;1408
800;1558
900;1615
1000;1858
1100;2598
1200;2524
1300;2752
1400;2742
1500;2877
1600;3013
1700;3049
1800;3351
1900;3107
2000;3505
2100;4729
2200;5584
2300;5424
2400;5540
2500;5906
2600;6101
2700;5747
2800;5674
2900;5726
3000;6335
3100;5989
3200;6131
3300;6231
3400;6267
3500;7023
3600;7048
3700;8078
3800;6912
3900;7262
4000;7760
4100;9613
4200;10056
4300;10972
4400;10574
4500;10634
4600;11867
4700;10972
4800;11576
4900;12317
5000;12455
5100;12159
5200;13240
5300;12520
5400;12094
5500;12328
5600;12532
5700;12330
5800;12475
5900;13765
6000;14247
6100;13129
6200;13186
6300;13555
6400;13468
6500;14332
6600;13886
6700;13531
6800;13677
6900;14612
7000;14102
7100;14812
7200;14679
7300;14328
7400;14557
7500;14661
7600;15121
7700;15042
7800;58332
7900;28675
8000;19175
8100;22732
8200;21235
8300;21771
8400;27501
8500;24438
8600;25561
8700;24370
8800;24627
8900;23317
9000;23952
9100;25439
9200;25022
9300;24460
9400;24713
9500;24004
9600;24394
9700;24712
9800;25820
9900;24644
