x;y
10;0
11;0
12;21
13;20
14;33
15;14
16;13
17;21
18;20
19;21
20;20
21;21
22;22
23;32
24;52
25;59
26;80
27;52
28;72
29;58
30;53
31;53
32;53
33;58
34;66
35;65
36;66
37;68
38;71
39;91
40;68
41;74
42;123
43;72
44;72
45;87
46;97
47;114
48;127
49;127
50;125
51;136
52;127
53;139
54;133
55;151
56;126
57;135
58;128
59;139
60;131
61;140
62;156
63;160
64;157
65;166
66;170
67;174
68;195
69;189
70;192
71;191
72;200
73;206
74;192
75;187
76;191
77;189
78;212
79;204
80;205
81;220
82;205
83;205
84;199
85;259
86;217
87;207
88;212
89;226
90;235
91;268
92;246
93;259
94;276
95;288
96;309
97;321
98;299
99;303
100;333
101;326
102;289
103;453
104;378
105;287
106;325
107;333
108;313
109;306
110;326
111;459
112;390
113;451
114;409
115;339
116;333
117;459
118;335
119;317
120;316
121;321
122;315
123;338
124;325
125;327
126;346
127;346
128;338
129;372
130;366
131;388
132;392
133;388
134;421
135;411
136;436
137;435
138;454
139;447
140;466
141;483
142;574
143;468
144;456
145;482
146;483
147;463
148;451
149;476
150;474
151;487
152;494
153;519
154;486
155;507
156;519
157;534
158;480
159;469
160;619
161;767
162;683
163;724
164;726
165;636
166;580
167;519
168;458
169;574
170;709
171;487
172;487
173;461
174;580
175;621
176;519
177;546
178;551
179;576
180;719
181;891
182;901
183;1194
184;1189
185;1181
186;1210
187;1083
188;1014
189;1222
190;1097
191;909
192;898
193;884
194;783
195;945
196;972
197;1073
198;1926
199;883
200;834
201;790
202;767
203;945
204;873
205;1383
206;1414
207;1422
208;1417
209;1479
210;1420
211;1362
212;1401
213;1369
214;1524
215;1489
216;1342
217;1390
218;1441
219;1416
220;1326
221;1309
222;984
223;965
224;912
225;817
226;821
227;777
228;772
229;1134
230;850
231;893
232;852
233;883
234;871
235;791
236;748
237;757
238;815
239;836
240;842
241;724
242;746
243;816
244;1169
245;960
246;883
247;1063
248;967
249;994
250;788
251;955
252;1174
253;1084
254;1034
255;1082
256;1555
257;1533
258;2490
259;1695
260;1672
261;1309
262;1087
263;984
264;1081
265;1011
266;904
267;885
268;1224
269;1278
270;1099
271;1033
272;993
273;1053
274;955
275;979
276;1265
277;1280
278;978
279;932
280;979
281;1103
282;995
283;1183
284;1135
285;1367
286;1159
287;1781
288;1149
289;939
290;960
291;947
292;963
293;960
294;1275
295;938
296;911
297;937
298;957
299;1172
300;950
301;1325
302;1473
303;1402
304;1859
305;1029
306;924
307;971
308;982
309;1000
310;1023
311;1056
312;1103
313;1107
314;1584
315;1045
316;1015
317;1042
318;1077
319;1117
320;1113
321;1084
322;1100
323;1096
324;1092
325;1082
326;1055
327;1117
328;1047
329;1115
330;945
331;955
332;1056
333;1256
334;1056
335;975
336;962
337;957
338;955
339;968
340;967
341;1121
342;1252
343;1015
344;1171
345;1114
346;997
347;978
348;987
349;981
350;993
351;991
352;986
353;999
354;1013
355;1066
356;1165
357;1332
358;3082
359;2100
360;1983
361;1671
362;1529
363;1377
364;2116
365;2300
366;2118
367;2247
368;2264
369;2122
370;1445
371;1511
372;1636
373;1675
374;1553
375;1507
376;1644
377;1764
378;1682
379;1510
380;1494
381;1570
382;1904
383;1405
384;1435
385;1521
386;1562
387;1900
388;1514
389;1469
390;1455
391;1435
392;1497
393;1647
394;1542
395;1453
396;1479
397;1724
398;1552
399;1452
400;1448
401;1460
402;1651
403;1493
404;1457
405;1488
406;1479
407;1523
408;1679
409;1503
410;2195
411;1736
412;1803
413;1480
414;1507
415;1491
416;1490
417;1487
418;1677
419;1598
420;1485
421;1534
422;2060
423;1602
424;1544
425;1763
426;1501
427;1497
428;1695
429;1572
430;1506
431;1740
432;1523
433;1544
434;1511
435;1544
436;1522
437;1538
438;1549
439;1745
440;1612
441;2140
442;1519
443;1684
444;1548
445;1540
446;1535
447;1537
448;1544
449;1922
450;1696
451;1562
452;1581
453;1555
454;1554
455;1556
456;1559
457;1569
458;1557
459;1964
460;2559
461;1630
462;1579
463;1571
464;1571
465;1570
466;1569
467;1583
468;1586
469;2571
470;2342
471;1587
472;1587
473;1598
474;1595
475;1594
476;1614
477;1735
478;1724
479;1828
480;1593
481;1689
482;1759
483;1844
484;1977
485;2023
486;2144
487;1990
488;1942
489;1950
490;1838
491;1848
492;1782
493;1717
494;2218
495;1669
496;2275
497;1916
498;1802
499;1917
