x;y
500;838
600;1026
700;1110
800;1165
900;1822
1000;1947
1100;2070
1200;2538
1300;3044
1400;2364
1500;2636
1600;2483
1700;3223
1800;3403
1900;3909
2000;3958
2100;4475
2200;4589
2300;4634
2400;5245
2500;5218
2600;5251
2700;5164
2800;5409
2900;5673
3000;5417
3100;6938
3200;6605
3300;6991
3400;9085
3500;8659
3600;9095
3700;9355
3800;9821
3900;10822
4000;10037
4100;10392
4200;9152
4300;10432
4400;10465
4500;13996
4600;10564
4700;10872
4800;11762
4900;10840
5000;12031
5100;11510
5200;11195
5300;12448
5400;12205
5500;11623
5600;11712
5700;12902
5800;16057
5900;14591
6000;17546
6100;15459
6200;18371
6300;18350
6400;17523
6500;14603
6600;18746
6700;19275
6800;19827
6900;20999
7000;18745
7100;19939
7200;27196
7300;24434
7400;25030
7500;22292
7600;25443
7700;30387
7800;27828
7900;23993
8000;24669
8100;21424
8200;21237
8300;22368
8400;22738
8500;22470
8600;22355
8700;28064
8800;24592
8900;22785
9000;22323
9100;22906
9200;24479
9300;25509
9400;24344
9500;28288
9600;30090
9700;28176
9800;32203
9900;26194
