x;y
10;19
11;19
12;11
13;21
14;32
15;49
16;47
17;56
18;55
19;41
20;41
21;60
22;48
23;67
24;56
25;56
26;61
27;72
28;82
29;82
30;82
31;89
32;87
33;90
34;93
35;96
36;101
37;102
38;103
39;104
40;111
41;158
42;126
43;119
44;114
45;117
46;116
47;115
48;131
49;131
50;162
51;155
52;170
53;182
54;193
55;214
56;256
57;238
58;261
59;284
60;258
61;246
62;238
63;238
64;249
65;246
66;260
67;270
68;275
69;299
70;354
71;294
72;298
73;299
74;256
75;258
76;274
77;260
78;262
79;268
80;283
81;268
82;282
83;271
84;285
85;278
86;273
87;277
88;273
89;345
90;293
91;289
92;297
93;290
94;296
95;271
96;271
97;319
98;291
99;303
100;321
101;322
102;331
103;359
104;389
105;368
106;399
107;404
108;417
109;449
110;537
111;646
112;761
113;814
114;804
115;579
116;431
117;461
118;448
119;450
120;459
121;466
122;462
123;488
124;479
125;506
126;506
127;500
128;479
129;516
130;552
131;546
132;519
133;524
134;530
135;527
136;559
137;552
138;592
139;625
140;590
141;677
142;593
143;591
144;605
145;572
146;601
147;603
148;624
149;612
150;617
151;621
152;619
153;676
154;646
155;603
156;604
157;600
158;595
159;579
160;581
161;585
162;585
163;607
164;592
165;590
166;734
167;800
168;637
169;576
170;684
171;698
172;944
173;805
174;767
175;621
176;743
177;601
178;641
179;664
180;669
181;714
182;709
183;701
184;716
185;702
186;689
187;693
188;690
189;762
190;699
191;767
192;644
193;646
194;651
195;667
196;669
197;684
198;749
199;930
200;757
201;795
202;943
203;925
204;923
205;809
206;774
207;771
208;813
209;824
210;860
211;886
212;1342
213;1373
214;3212
215;986
216;874
217;895
218;891
219;910
220;923
221;972
222;1004
223;1042
224;1033
225;1192
226;1025
227;1010
228;985
229;1029
230;995
231;943
232;966
233;952
234;926
235;955
236;1002
237;971
238;938
239;945
240;940
241;980
242;1362
243;1440
244;1350
245;1092
246;955
247;942
248;947
249;948
250;959
251;954
252;953
253;968
254;982
255;978
256;960
257;1110
258;1011
259;1410
260;1166
261;1108
262;1044
263;1073
264;1132
265;1172
266;1196
267;1241
268;1291
269;1340
270;1363
271;1366
272;1267
273;1246
274;1220
275;1250
276;1265
277;1221
278;1116
279;1097
280;1115
281;1102
282;1107
283;1107
284;1576
285;1174
286;1191
287;1160
288;1176
289;1311
290;1279
291;1273
292;1244
293;1206
294;1187
295;1148
296;1399
297;1232
298;1299
299;1273
300;1182
301;1194
302;1223
303;1335
304;1337
305;1205
306;1170
307;1187
308;1310
309;1411
310;1273
311;1232
312;1488
313;1374
314;1240
315;1228
316;1197
317;1207
318;1388
319;1252
320;1300
321;1489
322;1250
323;1215
324;1416
325;1960
326;2073
327;1289
328;1211
329;1218
330;1222
331;1453
332;1554
333;1254
334;1258
335;1306
336;1491
337;1329
338;1279
339;1239
340;1231
341;1246
342;1236
343;1307
344;1375
345;1254
346;1310
347;1341
348;1350
349;1379
350;1601
351;1443
352;1386
353;1288
354;1274
355;1305
356;1363
357;1288
358;1295
359;1333
360;1426
361;1999
362;1736
363;1516
364;1320
365;1608
366;1489
367;1341
368;1273
369;1279
370;1336
371;1402
372;1844
373;2220
374;1914
375;1420
376;1376
377;1360
378;1321
379;1295
380;1363
381;1383
382;1556
383;1860
384;2004
385;1418
386;1374
387;1329
388;1380
389;1342
390;1347
391;1355
392;1406
393;1646
394;2271
395;2113
396;1712
397;1697
398;1714
399;1734
400;1777
401;1607
402;1685
403;1668
404;1615
405;1655
406;1840
407;1733
408;1948
409;1741
410;1613
411;1690
412;2125
413;2403
414;1811
415;1856
416;1849
417;1851
418;1840
419;1705
420;1722
421;1983
422;2042
423;2461
424;2627
425;1817
426;2209
427;2161
428;2062
429;2257
430;2929
431;2274
432;2068
433;1956
434;2575
435;6484
436;2730
437;2274
438;2119
439;1953
440;1958
441;2421
442;2354
443;2315
444;2209
445;2313
446;2428
447;2897
448;2591
449;2250
450;2357
451;2113
452;2138
453;2206
454;2161
455;2144
456;2451
457;2007
458;2032
459;2070
460;2338
461;2256
462;2333
463;2663
464;2372
465;2231
466;2180
467;2348
468;2201
469;2339
470;2474
471;2195
472;2310
473;2958
474;2696
475;2098
476;2289
477;3392
478;3868
479;3081
480;2455
481;2337
482;3333
483;3781
484;2950
485;2373
486;2301
487;2148
488;2554
489;2469
490;2694
491;2123
492;2062
493;2167
494;2313
495;2545
496;2763
497;2156
498;2118
499;2011
