x;y
500;1711
600;2496
700;3785
800;3764
900;2828
1000;2708
1100;3104
1200;3231
1300;3364
1400;4907
1500;5107
1600;5274
1700;7545
1800;9490
1900;8851
2000;5844
2100;6429
2200;6505
2300;6727
2400;6767
2500;6924
2600;7248
2700;7494
2800;9908
2900;10364
3000;10563
3100;10786
3200;11090
3300;10900
3400;11248
3500;11584
3600;11568
3700;11750
3800;11936
3900;12388
4000;12587
4100;12464
4200;14916
4300;20929
4400;24127
4500;17232
4600;17389
4700;14876
4800;23237
4900;22704
5000;21458
5100;25543
5200;20456
5300;18276
5400;17951
5500;19894
5600;21221
5700;29250
5800;19278
5900;22423
6000;22435
6100;21885
6200;23079
6300;23255
6400;24239
6500;24248
6600;24714
6700;27661
6800;30384
6900;26206
7000;27282
7100;25549
7200;24659
7300;24802
7400;24693
7500;24195
7600;26727
7700;25641
7800;27727
7900;28440
8000;27896
8100;26794
8200;26702
8300;28031
8400;29989
8500;30846
8600;30468
8700;39047
8800;30778
8900;31249
9000;30694
9100;31394
9200;31693
9300;31174
9400;33659
9500;34060
9600;70320
9700;55100
9800;44622
9900;32176
