x;y
500;1296
600;1584
700;1824
800;2468
900;2634
1000;3135
1100;3667
1200;3064
1300;3339
1400;3987
1500;4762
1600;5084
1700;5175
1800;5735
1900;5256
2000;7385
2100;7899
2200;8601
2300;9107
2400;9338
2500;9483
2600;8651
2700;9585
2800;9237
2900;9659
3000;12021
3100;10393
3200;10358
3300;11149
3400;11665
3500;14356
3600;13434
3700;12432
3800;15350
3900;12676
4000;12495
4100;13469
4200;15290
4300;14553
4400;16072
4500;15749
4600;14772
4700;15350
4800;15788
4900;17467
5000;17681
5100;18444
5200;18759
5300;17104
5400;18757
5500;17942
5600;20159
5700;25815
5800;21723
5900;19034
6000;21999
6100;24397
6200;24006
6300;23759
6400;40351
6500;28835
6600;25787
6700;25954
6800;32757
6900;26665
7000;27837
7100;29835
7200;30128
7300;37265
7400;30443
7500;30878
7600;32422
7700;35548
7800;38164
7900;34792
8000;34517
8100;36084
8200;35484
8300;36970
8400;35948
8500;36853
8600;32926
8700;36916
8800;45341
8900;52923
9000;46020
9100;36101
9200;37014
9300;37990
9400;45305
9500;39811
9600;42862
9700;39050
9800;38297
9900;40826
