x;y
500;2619
600;3286
700;3725
800;3606
900;3210
1000;3959
1100;4271
1200;4783
1300;5241
1400;5570
1500;5614
1600;6125
1700;7146
1800;7222
1900;8225
2000;8003
2100;9482
2200;9049
2300;9424
2400;10242
2500;10238
2600;11463
2700;9930
2800;9749
2900;17798
3000;18110
3100;11940
3200;14048
3300;13700
3400;15436
3500;15825
3600;15990
3700;15683
3800;16265
3900;17698
4000;18175
4100;18202
4200;19875
4300;19390
4400;18553
4500;19664
4600;21531
4700;21033
4800;21595
4900;21548
5000;19869
5100;21484
5200;21223
5300;19616
5400;17797
5500;17123
5600;17026
5700;20085
5800;28579
5900;81866
6000;38099
6100;30877
6200;28159
6300;26304
6400;27728
6500;36001
6600;34823
6700;27153
6800;27816
6900;33844
7000;32881
7100;29711
7200;34459
7300;36835
7400;35500
7500;31953
7600;35845
7700;35581
7800;36478
7900;35583
8000;37783
8100;48586
8200;43838
8300;41431
8400;32648
8500;35387
8600;37453
8700;35766
8800;38452
8900;39895
9000;41266
9100;41078
9200;42528
9300;43870
9400;42900
9500;37144
9600;41052
9700;42086
9800;38995
9900;43997
