x;y
500;1388
600;1855
700;2098
800;2782
900;3056
1000;2941
1100;3575
1200;3861
1300;4308
1400;7724
1500;7163
1600;7791
1700;8320
1800;12475
1900;10029
2000;10314
2100;10197
2200;10157
2300;9530
2400;7731
2500;8758
2600;12598
2700;10168
2800;9923
2900;9501
3000;10654
3100;10292
3200;11031
3300;11661
3400;11141
3500;13585
3600;15342
3700;11648
3800;19100
3900;21869
4000;18851
4100;16102
4200;13673
4300;15630
4400;15631
4500;23469
4600;22680
4700;15887
4800;23456
4900;20556
5000;18595
5100;21526
5200;24710
5300;20891
5400;26598
5500;21973
5600;22650
5700;21373
5800;30222
5900;25891
6000;25429
6100;24393
6200;30314
6300;35499
6400;29110
6500;24774
6600;34527
6700;42693
6800;36056
6900;34839
7000;37622
7100;37615
7200;37745
7300;36531
7400;35000
7500;46598
7600;40278
7700;33781
7800;44338
7900;50353
8000;44956
8100;47106
8200;41967
8300;53043
8400;48300
8500;42518
8600;38384
8700;47520
8800;58884
8900;46752
9000;53861
9100;46872
9200;37681
9300;52219
9400;45331
9500;37595
9600;39565
9700;39224
9800;47040
9900;57977
