x;y
500;908
600;976
700;1852
800;2922
900;2700
1000;3338
1100;3571
1200;2387
1300;2334
1400;3445
1500;3416
1600;3534
1700;3825
1800;3812
1900;4172
2000;4213
2100;7159
2200;7967
2300;8124
2400;7903
2500;5653
2600;7257
2700;12397
2800;7358
2900;7399
3000;7918
3100;10574
3200;8207
3300;11289
3400;11617
3500;11020
3600;14561
3700;14581
3800;14924
3900;14148
4000;9107
4100;14937
4200;15467
4300;16933
4400;13158
4500;10708
4600;12002
4700;10242
4800;13808
4900;18686
5000;12477
5100;10908
5200;10862
5300;12930
5400;15562
5500;19924
5600;16279
5700;15766
5800;15332
5900;16661
6000;15552
6100;15819
6200;18228
6300;17763
6400;21712
6500;17989
6600;21341
6700;19441
6800;17881
6900;18691
7000;18265
7100;23286
7200;21194
7300;18281
7400;18287
7500;17768
7600;21911
7700;35472
7800;36943
7900;40979
8000;30898
8100;29493
8200;27563
8300;23487
8400;23724
8500;26001
8600;27603
8700;21815
8800;24156
8900;21998
9000;27655
9100;25947
9200;24740
9300;24339
9400;26213
9500;23940
9600;23847
9700;21617
9800;21586
9900;22397
